tick	_total	create	finish	memory	needList	run
17168954	2652.7	49	0.2	304.3	454.9	1834.5
17169054	3266.8	39.1	0.2	295.2	438.5	2483.6
17169473	3294.2	46.1	0.2	1096.6	509.6	2411.8
17169573	2600.5	31.6	0.2	366.1	396.6	1782.1
17169674	2674.8	51.8	0.2	265.9	424.2	1922.5
17169774	2414.5	23.7	0.2	251.9	382.5	1746.1
17169874	2665.5	24.4	0.1	313.4	447.7	1869.8
17169974	2713.5	44.9	0.2	261.2	387.9	2008.8
17170074	2811.4	50.5	0.2	287	405.6	2058.8
17170174	2723.7	46.8	0.2	253.4	377.3	2037.2
17170274	2786.2	16.6	0.1	255.4	454.7	2050
17170374	3166.7	25.6	0.2	278	436.5	2418.6
17170474	3947.4	16.8	0.2	282.6	422	3217.7
17170574	3298.2	18.3	0.1	313.6	391.7	2566
17170674	3417.2	14.1	0.2	300.3	400.2	2692.6
17170774	3191	7.7	0.1	214.5	381.2	2578.6
17170874	3005.1	8.8	0.1	244	383.7	2359.8
17170974	3578.6	15.2	0.2	345	576.6	2631.3
17171074	3861.9	14.8	0.2	458.3	403.8	2973.3
17171174	3270.6	5.7	0.2	251.8	440.3	2562
17171274	3244.6	11.9	0.1	250.7	465.8	2505.3
17171374	2796.7	22.7	0.2	301.2	389.9	2072.5
17171474	2889.9	11.4	0.2	298.1	466.3	2104
17171574	2575.5	8.6	0.2	246.1	469.1	1840.2
17171674	2654.6	15	0.2	250.6	408	1970.6
17171774	2553.8	21.7	0.1	271.6	421.3	1829.4
17171874	2783.4	22.6	0.1	306.8	416.6	2027.4
17171974	2586.1	10.8	0.1	272.3	410.4	1884.8
17172074	2623.6	23.7	0.1	275.5	457.9	1858.8
17172174	2442.5	16.6	0.1	217.3	441.3	1759.2
17172274	3146.3	10.2	0.1	261.7	520.9	2343.7
17172374	2827.4	15.5	0.1	306.7	423.7	2073.2
17172474	2457.6	6.6	0.1	221.6	447.4	1774.5
17172574	3152.1	42.2	0.2	247.8	503.6	2348.7
17172674	2664.9	12.8	0.1	267	443.1	1932.5
17172774	2460.5	11.3	0.1	211.6	458	1770.5
17172874	2889	36.7	0.1	262.5	487.5	2092.3
17172974	2912.9	10.8	0.1	325.9	498.7	2067.9
17173074	2699.1	4.2	0.1	332.9	502.4	1849.9
17173174	3111.1	28.3	0.1	280.4	532	2260.8
17173274	2917.2	16	0.1	245.2	461.2	2186.1
17173374	2953.6	48	0.2	300.5	468.7	2126.6
17173475	2913.6	31.7	0.2	208.9	447.3	2216
17173575	2776.3	18.3	0.2	276.8	455.1	2000.3
17173675	2899.4	20.2	0.2	276.6	430.2	2162.1
17173775	2636.6	13.4	0.1	298.2	494.6	1820
17173874	2732.5	22.8	0.2	230.2	502.5	1968.3
17173974	3331.8	10.6	0.1	310	557.6	2444
17174074	2965.7	7	0.1	320.8	544.1	2085
17174174	3032.8	6.8	0.1	312.3	562	2132
17174274	3035.9	23	0.1	280.2	459.5	2263.1
17174374	2771.6	11.1	0.1	279.5	479.4	1993.1
17174474	2844.3	30	0.1	226.8	426.3	2154.8
17174574	2924.7	19.6	0.1	270.6	458.3	2168.5
17174675	2882.8	30	0.1	193	522.6	2130.7
17174775	2987.4	28.4	0.1	276.9	472.6	2200.2
17174875	2891	35.2	0.1	293.6	466.4	2085.3
17174975	2756.8	20.3	0.2	244.3	625	1858.1
17175075	2889.4	53.4	0.2	283.5	487.2	2057.5
17175175	2509.9	38.5	0.2	247.1	408.6	1808.8
17175275	2612.6	55	0.2	247.8	416.4	1886.3
17175375	2542.6	43.2	0.2	267.2	502.7	1720.3
17175475	2410.6	48.6	0.2	240.7	529.7	1581.7
17175575	2861.7	41.5	0.2	303.3	571.6	1936.2
17175675	2405.2	36.5	0.1	295.2	500.2	1564.4
17175775	2352.7	106.2	0.2	278.2	529.1	1429.6
17175875	2417.7	64.1	0.2	294	567.7	1483.1
17175975	2655.3	53.1	0.2	353	585.6	1655
17176075	2298.5	64.4	0.1	261.7	526.6	1438.2
17176175	2193.6	49.9	0.1	336.8	490.4	1309.3
17176275	2258.9	68.3	0.1	291.2	497.9	1393.5
17176375	1855.1	46.3	0.1	234.9	402.3	1164.8
17176475	1973.3	74.9	0.1	219.4	452.9	1220.1
17176575	1908.3	90.3	0.2	255.3	453.7	1102.5
17176675	2215.8	56.6	0.2	263.5	497.6	1388.5
17176775	2122.5	89	0.2	317.5	460.7	1245.2
17176875	2041.3	56.2	0.2	314	449.2	1212.9
17176975	1943.1	47.1	0.1	287.1	428.8	1172
17177075	1887.7	82	0.1	194.9	419.5	1183.9
17177175	1896.6	84.2	0.1	234	410.1	1160.8
17177275	1914.4	48	0.2	241.4	439.4	1176.1
17177375	1791.8	55	0.2	225.8	380.4	1121.6
17177475	1878.5	86	0.2	237.7	341.2	1205.3
17177575	2174.3	71.9	0.2	281.6	539.3	1273
17177675	1808.2	89.7	0.2	234.6	432	1043.1
17177775	1891	57.9	0.2	328.3	419.6	1076.1
17177875	1779.4	61	0.2	232.1	426.3	1050.5
17177975	1863.8	54.8	0.2	270.6	393.9	1134.7
17178075	1778.7	45.3	0.1	218.7	360.6	1144.7
17178175	2017.3	50.4	0.1	344.8	439.4	1173.7
17178275	1864	59.3	0.1	163.7	413	1219.6
17178375	1914.3	33.4	0.1	175.6	413.7	1283.3
17178475	2195.6	68.3	0.1	339.4	369.5	1409.5
17178575	2339.7	79	0.2	307.2	469.6	1473.8
17178675	2223.9	58.1	0.2	288.3	467.8	1399.4
17178775	2198.4	52.8	0.2	347.3	401.3	1387.1
17178875	2129.7	61	0.1	277.9	428.8	1352.5
17178975	2220.8	60.1	0.1	234	400.2	1505.2
17179075	1864.9	54.5	0.1	214.9	374.5	1213.6
17179175	2251.2	41.4	0.2	220.9	420.8	1559.9
17179275	2095.8	45	0.1	219.9	423.2	1399.2
17179375	2692.9	70.5	0.2	232.8	399.5	1980.9
17179475	2626	50.8	0.2	264.6	463.4	1837.6
17179574	2873.4	35.6	0.1	332.3	485.1	2010.7
17179674	3226.6	55.9	0.1	307.2	509.2	2344.4
17179774	3194.8	44.2	0.2	368.2	607.7	2165
17179874	2837.9	49.1	0.1	295	447.1	2038.7
17179974	2977.3	43.7	0.1	365.3	459.2	2102.2
17180075	2592.1	41.1	0.1	226.8	489.8	1827.5
17180175	2936.4	32.5	0.2	293.4	467.7	2137.6
17180275	2789.7	26.2	0.1	270	450.2	2038.1
17180375	2954	41.1	0.1	310.1	511.8	2084.8
17180475	2776.9	45.5	0.1	344.8	483.9	1895.6
17180575	2754.8	39.3	0.1	333.9	459.1	1914.5
17180675	2906.1	41.7	0.5	345.8	563.2	1931.9
17180775	3119.6	33.4	0.2	317.6	502.9	2254.9
17180875	2833.5	29.9	0.2	367.5	502.2	1924.8
17180975	2759.8	46.7	0.2	397.3	475.9	1829.8
17181075	3473.9	39.6	0.2	339.4	515.8	2569.1
17181175	2747.6	37.5	0.2	298.8	506.8	1895.6
17181275	2634.8	36.1	0.2	277.1	540.5	1771.9
17181375	2832.7	58.7	0.2	460.5	500	1803
17181475	3049.7	35	0.2	269	447.8	2265.9
17181575	2744.8	75.9	0.3	511.1	473.4	1675.1
17181675	2615.5	42.6	0.2	281.1	491.8	1790.5
17181775	2426.9	15	0.1	285.4	422.3	1697
17181875	2366.1	29	0.1	292.4	465.6	1572.5
17181975	2532.2	34.8	0.2	311.8	495.7	1683
17182075	2603.6	21	0.2	307	446.2	1820.2
17182175	2752.2	39.4	0.2	381.4	523.4	1796.8
17182275	2535.8	37.9	0.2	316.9	472.7	1699.2
17182375	2848.4	49.6	0.1	256.7	463.5	2070.7
17182475	2736.1	25.6	0.1	249.5	466.8	1987.5
17182575	2719.3	29.4	0.1	331.6	522.2	1829
17182675	2911.2	36.6	0.1	330.3	643	1893.4
17182775	2617.9	38.9	0.1	282.5	477.9	1811.9
17182875	2940.8	56.1	0.4	323.7	503.8	2050.2
17182976	2568.1	48.8	0.1	291.1	481.4	1740.2
17183076	2621.3	29.5	0.1	282.7	480.3	1822.4
17183176	2607	35.3	0.1	278.8	458	1827.4
17183276	2935.8	47.8	0.1	303.5	479.7	2097.9
17183376	2792.3	28	0.2	325.2	465.6	1968.1
17183476	2735.4	43.1	0.1	242	471.9	1973.1
17183576	2747.3	17.8	0.1	371.6	574.8	1777.7
17183676	3300.7	43.5	0.1	354.4	530.4	2365.3
17183776	3421	57.4	0.1	426.1	483.1	2446.2
17183876	3418.7	50.1	0.3	377.2	527.6	2456.3
17183977	3553.2	24.7	0.1	373.1	518	2630.2
17184077	3538.7	20.5	0.1	342.8	490.8	2678.1
17184177	4175	8.8	0.1	372.5	538.5	3248.3
17184277	4233.1	16.2	0.1	363.3	548.8	3295.7
17184377	4153.8	8.3	0.1	324.5	470.7	3342.4
17184477	3666.8	5.2	0.1	415.4	494	2744.6
17184577	3900.8	9.3	0.1	381.2	579.7	2918.4
17184677	3182.7	5.3	0.1	350	453.7	2364.7
17184777	3660.5	50.6	0.1	412.3	514.8	2661.6
17184877	4089	38.4	0.2	383.1	522.2	3137.2
17184977	3598	51.8	0.1	364	459.7	2716.1
17185077	3499.3	61.6	0.1	339.1	463.5	2628.6
17185177	3531	12.8	0.1	340	495.3	2659
17185277	3547.6	7	0.1	471.7	577.5	2482.6
17185376	3462	27	0.1	352.6	568.5	2503.1
17185476	3327.2	83.9	0.2	308.8	567.8	2357.8
17185576	3585.5	94.4	0.2	339.1	539.9	2602.1
17185676	3294.3	56.1	0.1	330.2	474	2425.5
17185776	3082.8	53.5	0.1	282.6	475.2	2262.9
17185876	3045.3	47.3	0.1	252	451.5	2287.8
17185976	3026	54.4	0.1	278.1	511.2	2175.2
17186076	2840.3	28.4	0.1	240.8	473.2	2090.9
17186176	2928.1	7.6	0.1	298.5	494.8	2120.4
17186276	2611.2	5.4	0.1	189.8	435.5	1975.3
17186376	2913	26.7	0.1	173.4	494.7	2212.8
17186476	3313.5	59.7	0.1	243.3	527.8	2475.9
17186576	3024.9	52.3	0.1	319.5	458.5	2187.6
17186676	2914.2	31.5	0.1	236.5	522.3	2117.7
17186776	3079.2	43.2	0.1	212.6	499	2317.6
17186876	2946.3	43.1	0.1	251.5	491.8	2149.8
17186976	3049.7	23.1	0.1	237.7	477.2	2290.8
17187076	3093.2	17.4	0.1	252.6	468.2	2347.9
17187176	2867.8	6	0.1	202.8	482.1	2169.9
17187276	2955.7	12.5	0.2	300.1	466.2	2169.3
17187376	2852.7	3.6	0.1	279.8	489.5	2071.7
17187476	2916.7	6.2	0.1	283.4	444	2175.8
17187576	2744.9	22.2	0.1	225.1	418.1	2071.9
17187676	3034.6	4.2	0.1	238.7	527.4	2257.1
17187776	3000.8	9.5	0.1	231.5	461.5	2291.2
17187876	3061.4	35.2	0.2	281.2	507.2	2230.7
17187976	3261.3	46.5	0.1	316.4	507.3	2383
17188076	3209.9	20.7	0.1	368.9	510.3	2301.4
17188176	3036.4	50.3	0.2	313.3	542.9	2121
17188276	3577.2	60.1	0.1	219.7	505	2783.1
17188376	3725.6	54.9	0.1	243.1	507.3	2911.4
17188476	3051.8	18.9	0.1	260.9	491.4	2271.8
17188576	3436.5	2.5	0.1	299.7	533	2592.9
17188676	3211.4	17.6	0.1	265.3	442.7	2477.2
17188776	2962.2	40.8	0.1	275.5	523.8	2114.1
17188876	3382	40.8	0.2	258.3	507.3	2568.8
17188976	3157.1	16.9	0.1	251	413.1	2469.8
17189076	3322	24	0.1	186.8	419.2	2685.8
17189176	3745.7	13.5	0.1	252.1	574.4	2876.1
17189276	3264.6	8.9	0.1	207.2	491.3	2549.9
17189376	3223.9	9	0.1	237.8	447.1	2523.4
17189476	3476.3	40.8	0.1	281.2	562.1	2572.8
17189576	3435.3	32	0.1	263.8	551	2581.7
17189676	3330.5	36.3	0.1	253.2	498	2536
17189776	3471.4	23.4	0.1	309.3	487.9	2643.8
17189876	3484.8	50.3	0.1	289.8	448.3	2689.6
17189976	3455.2	30.1	0.1	265.4	463.7	2688.4
17190076	3052.1	8.7	0.1	239.8	503.5	2293.1
